epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.32767,3.51629,11.2698,2.73785,0.00302,0.66667,0.04035,0.00441,3.08011,4.61822,2.072,0,0,0
2,7.99875,3.73508,9.5948,2.24897,0.00303,0.66667,0.04061,0.00406,3.04884,4.72816,2.06342,1.40071e-05,1.40071e-05,1.40071e-05
3,8.90068,2.75343,6.30971,1.94895,0.00303,0.66667,0.02818,0.00282,3.01931,4.88294,2.05833,2.74482e-05,2.74482e-05,2.74482e-05
4,9.73094,3.53644,9.63923,2.58035,0.00307,0.66667,0.0256,0.00256,3.0613,4.77215,2.06096,4.03235e-05,4.03235e-05,4.03235e-05
5,10.4633,3.77427,11.3002,3.08275,0.0031,0.66667,0.02126,0.00213,3.1002,4.66683,2.06488,5.26329e-05,5.26329e-05,5.26329e-05
6,11.6735,3.26995,9.34786,1.99859,0.003,0.66667,0.02895,0.0029,2.64023,4.77034,1.93138,6.43764e-05,6.43764e-05,6.43764e-05
7,13.4635,2.68886,8.42499,2.2743,0.00298,0.66667,0.04734,0.00897,2.15512,4.50577,1.75851,7.55541e-05,7.55541e-05,7.55541e-05
8,14.5773,2.59984,9.48342,1.97125,0.00294,0.66667,0.03066,0.00613,2.04383,4.44242,1.66012,8.61658e-05,8.61658e-05,8.61658e-05
9,16.2378,3.00413,7.53912,1.79506,0.00282,0.66667,0.03124,0.00625,1.91532,4.40054,1.60994,9.62117e-05,9.62117e-05,9.62117e-05
10,17.9554,3.05382,8.6424,2.09273,0.00271,0.66667,0.02795,0.00559,1.85534,4.41073,1.54466,0.000105692,0.000105692,0.000105692
11,19.462,2.52795,6.58733,1.57427,0.0013,0.33333,0.0262,0.00524,1.91388,4.49032,1.55058,0.000114606,0.000114606,0.000114606
12,21.0194,1.88116,6.99474,1.37455,0.00125,0.33333,0.01902,0.0038,1.92628,4.48247,1.55975,0.000122954,0.000122954,0.000122954
13,22.8579,1.96825,5.0889,1.51676,0.00124,0.33333,0.01026,0.00205,1.81679,4.49205,1.55953,0.000130736,0.000130736,0.000130736
14,24.7308,1.94509,6.90577,1.41981,0.00236,0.66667,0.02421,0.00936,1.56224,4.45122,1.39107,0.000137953,0.000137953,0.000137953
15,27.3249,1.72949,4.60471,1.70728,0.0023,0.66667,0.02645,0.0132,1.61175,4.27974,1.37175,0.000144603,0.000144603,0.000144603
16,29.5526,2.35403,6.82749,1.61432,0.00231,0.66667,0.0296,0.02022,1.62665,4.1687,1.31497,0.000150688,0.000150688,0.000150688
17,31.8548,1.91221,5.9587,1.25872,0.00231,0.66667,0.05026,0.02505,1.60201,4.12956,1.30883,0.000156207,0.000156207,0.000156207
18,34.6638,1.91893,5.51749,1.51196,0.00231,0.66667,0.05026,0.02505,1.60201,4.12956,1.30883,0.00016116,0.00016116,0.00016116
19,37.2728,1.69828,4.50394,1.37829,0.00239,0.66667,0.05878,0.03666,1.52848,4.04114,1.16827,0.000165547,0.000165547,0.000165547
